,emojis,0
195,(╯□╰),80
196,（1/100）,80
197,( ๑ŏ ﹏ ŏ๑ ),79
198,（？？？）,79
199,(●'◡'●)ﾉ❤,78
200,╮（﹀＿﹀）╭,78
201,(  ⚫︎ー⚫︎  ),78
202,（✘）,78
203,"""(ノ°ο°)ノ",78
204,(？),77
205,(╥╯^╰╥),77
206,└(^O^)┘,77
207,（｀Δ´）,76
208,(❁´◡`❁)*✲ﾟ*,75
209,（づ￣3￣）づ╭❤～,75
210,(°A°`)╮╭,75
211,（＃－.－）,74
212,( ఠノ ఠ)و,74
213,(;｀O´),73
214,(/≧▽≦)/~┴┴,73
215,(￣▽￣～)~～,73
216,╰（‵□′）╯,73
217,（?）,72
218,（°Д°）Ъ,72
219,(´▽`ʃƪ),72
220,(๑>؂<๑）,71
221,(●╹◡╹●）,71
222,(っ╥╯﹏╰╥c),70
223,(*≧▽≦)ツ┏━┓,70
224,(●ˇ∀ˇ●),70
225,( ￣▽￣)╭☞,70
226,（●─●）,69
227,ヽ( ￣д￣;)ノ,69
228,╭∩╮（︶︿︶）╭∩╮,69
229,(இωஇ ),69
230,(〃∀〃),69
231,(ˊ〇ˋ*)و,68
232,"(﹁""""﹁)""",68
233,(⌒▽⌒),68
234,(ˊωˋ*)و✧,67
235,ψ(｀∇´)ψ,66
236,（！）,66
237,(︶︹︺),66
238,（0/1）,66
239,(ﾟOﾟ),66
240,(/^▽^)/,66
241,(ﾉ｀⊿´)ﾉ,65
242,( ͡° ͜ʖ ͡°)✧,65
243,(～￣▽￣)→,65
244,(ﾉ ○ Д ○)ﾉ,65
245,（*＾ワ＾*）,64
246,(´▽｀)ノ♪,64
247,(&gt;^ω^&lt;),64
248,(・o・),64
249,(σﾟ∀ﾟ)σ⁶⁶⁶⁶⁶⁶⁶⁶⁶⁶,64
250,Ｏ(≧▽≦)Ｏ,64
251,╭☞(￣▽￣)╭☞,64
252,(*๓´╰╯`๓)♡,64
253,∠( ᐛ 」∠)_,64
254,(￣▽￣)～■,63
255,\(^o^)/,63
256,(❁´ω`❁),63
257,(●✿∀✿●),62
258,Σ(ﾟ∀ﾟﾉ)ﾉ,62
259,(>﹏<),62
260,(´-ι_-｀),61
261,￣ε(#￣)☆╰╮,61
262,_(:зゝ∠)_,61
263,┻━┻︵╰(‵□′)╯︵┻━┻,61
264,(๑˙❥˙๑),61
265,(๑´3｀๑),60
266,(✘_✘),60
267,(ง ˙o˙)ว,59
268,︿(￣︶￣)︿,59
269,(づ￣ ³￣)づ,59
270,(●'◡'●),59
271,〣( ºΔº )〣,59
272,(ㅍ_ㅍ),58
273,（。）,58
274,(≧▽≦)/\,58
275,(ﾟ⊿ﾟ)ﾂ,57
276,(╥_╥),57
277,(*≧▽≦)ツ,57
278,"╮(￣▽￣"""")╭",57
279,(ﾉ_ _)ﾉ,57
280,(≧^.^≦),56
281,"""(*°ω°*)ノ""""",56
282,(┬＿┬),55
283,(＾Ｕ＾)ノ~ＹＯ,55
284,(*≧▽≦),55
285,(๑•̀⌄•́๑),54
286,ლ(இдஇ;ლ ),54
287,(´；ω；`),54
288,(･∀･),54
289,╰(◉ᾥ◉)╯,54
290,ˉ(∞)ˉ,54
291,(۩⊙o⊙۩),54
292,＼(◎o◎)／,54
293,(*￣3￣)╭♡❀,53
294,ヽ(°∀°)ﾉ,53
295,ヽ(○^㉨^)ﾉ♪,53
296,_(:3」∠)_,53
297,(づ′▽`)づ,53
298,(●´∀｀●）☺♪♫♩♬♬♩♫♪☻,53
299,(;´༎ຶД༎ຶ`),53
300,（&gt;△&lt;）☆*☆*☆*,52
301,ヾ(@^▽^@)ノ,52
302,_(´ཀ`」 ∠)__,52
303,(＞＜),52
304,(⋟﹏⋞),52
305,(*≧ｍ≦*),52
306,(T ^ T),52
307,(¯ㅂ¯ԅ)ԅ,51
308,(。・`ω´・),51
309,(｡•́︿•̀｡),51
310,(◐‿◑)﻿,51
311,(｡･ω･｡),51
312,‼(•'╻'• )꒳ᵒ꒳ᵎᵎᵎ,51
313,(⁎⁍̴̛ᴗ⁍̴̛⁎),51
314,(=ﾟДﾟ=),51
315,( ｰ̀εｰ́ ),50
316,╭∩╮（￣▽￣）╭∩╮,50
317,╭☞( ￣ ▽￣)╭☞,50
318,(｡･∀･)ﾉﾞ,50
319,(*////▽////*),50
320,(ˊᗜˋ*)و,50
321,∑(°Д°ノ)ノ,50
322,(*°ω°*)ﾉ,49
323,(′ʘ⌄ʘ‵),49
324,ヽ(‘⌒´メ)ノ,49
325,(›´ω`‹ ),49
326,ლ(╹◡╹ლ),49
327,(^o^)/\,49
328,( ﹡ˆoˆ﹡ ),49
329,(#‵′),49
330,✧(≖ ◡ ≖✿),48
331,(ᕑᗢᓫา∗)˒,48
332,(๑òωó๑),48
333,(#`O′),48
334,（？？）,48
335,(*^ω^*),48
336,(～￣▽￣)～～,47
337,( ˃̶̤́ ꒳ ˂̶̤̀ ),47
338,（✓）,47
339,_(•̀ω•́ 」∠)_,47
340,(￣▽￣～),47
341,=====(￣▽￣*),47
342,(?),47
343,(˶˚  ᗨ ˚˶),47
344,( ^_^)／,47
345,(๑‾ ꇴ ‾๑),47
346,( ˘•ω•˘ ),46
347,(#^.^#),46
348,(:з」∠)__,46
349,(⑉• •⑉)‥♡,46
350,(≖‿≖)✧,45
351,(*´∀`),45
352,(▼ヘ▼#),45
353,(⊙o⊙*)و,45
354,(￣へ￣),45
355,(︶︿︶),45
356,(๑ŐдŐ),45
357,(ﾟДﾟ≡ﾟдﾟ),45
358,(T＿T),45
359,(*・_・)ノ,45
360,(∗❛ัᴗ❛ั∗)◞✺✺◟,45
361,ヾ(^▽^*),44
362,( ˙-˙ ),44
363,(*'▽'*)♪,44
364,(*￣︶￣),44
365,_(≧∇≦」∠)_,44
366,♬︎*(๑ºั╰︎╯︎ºั๑)♡︎,44
367,(￣▽￣///),44
368,(๑`･ᴗ･´๑),43
369,(;_;),43
370,(*σ´∀`)σ,42
371,＼（〇_ｏ）／,42
372,(๑•̀◡•́๑),42
373,(シ_ _)シ,41
374,(*^_^*),41
375,( ´▽` )ﾉ,41
376,(^ω^)↗↖,41
377,( ￣ ▽￣),41
378,(#￣▽￣)==,41
379,(ノ＞▽＜。)ノ,41
380,ฅ( ̳• ◡ • ̳)ฅ,41
381,( ´_ゝ｀),41
382,(＃＃),41
383,(╥ω╥`),41
384,(′～`；）,41
385,⍥(⍥;;),40
386,(๑ºั╰╯ºั๑),40
387,(´∀｀),40
388,(◕ˇ∀ˇ◕),40
389,( ･᷄ὢ･᷅ ),40
390,(´◊ω◊｀),40
