候选词序号(NO.),Word,N,词频(Frequence),互信息(Mut),左信息熵(Ent_L),右信息熵(Ent_R),Mark,TF,IDF,TF-IDF,"最小左右信息熵{min(Ent_L, Ent_R)}"
25362,翻赵本山干翻,6,246,7.2,0.076,0.106,0,0.005998829,2.923933773,0.01754018,0.076
20258,忘字便宜点,5,248,5.2,0.076,1.533,0,0.0060476,2.920431379,0.017661602,0.076
13957,的地方梦,4,216,5,0.076,0.076,0,0.005267265,2.980170992,0.01569735,0.076
6826,狒狒挠,3,1018,6.1,5.943,0.076,0,0.024824425,2.308456542,0.057306105,0.076
842,品每,2,108,1.8,0.076,0.959,0,0.002633632,3.279204228,0.008636219,0.076
120,的英,2,1084,4.7,0.55,0.076,0,0.026433867,2.281200988,0.060300963,0.076
38,忘字,2,2696,5.9,0.076,5.243,0,0.06574327,1.88574978,0.123975356,0.076
32322,妈妈提笔忘字仙人,8,106,3.8,0.077,0.077,0,0.002584861,3.287246948,0.008497078,0.077
32245,赵本山干翻赵本山,8,244,6.7,0.077,0.926,0,0.005950059,2.927464642,0.017418586,0.077
32244,妈妈提笔忘字便宜,8,245,5.1,0.077,0.164,0,0.005974444,2.925695619,0.017479405,0.077
20282,六合一睹芳,5,213,5,0.077,0.185,0,0.005194108,2.986216953,0.015510735,0.077
20262,王扫六合一,5,244,2.1,0.077,0.994,0,0.005950059,2.927464642,0.017418586,0.077
859,扫清,2,106,4.5,5.116,0.077,0,0.002584861,3.287246948,0.008497078,0.077
384,蛋牛,2,316,4.6,0.077,0.133,0,0.007705813,2.815571464,0.021696269,0.077
32327,路狗熊蹭树宴请八,8,104,3.9,0.468,0.078,0,0.002536091,3.295441427,0.008357538,0.078
