候选词序号(NO.),Word,N,词频(Frequence),互信息(Mut),左信息熵(Ent_L),右信息熵(Ent_R),Mark,TF,IDF,TF-IDF,"最小左右信息熵{min(Ent_L, Ent_R)}"
31001,籽岷早期视频籽,7,9,4.1,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31039,一亿助攻再来亿,7,9,4,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31028,籽岷挖矿冲冲冲,7,9,3.7,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30933,一睹芳容700,7,9,3.1,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30993,故技重施再来亿,7,9,4.8,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30951,光翼展开哈哈哈,7,9,3.2,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31043,让我独享经验鲤,7,9,2,2.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31059,早期作品700,7,9,2.8,2.281,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31000,你也尿裤兜牛奶,7,9,5.4,1.88,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31008,一遍仙人指路狗,7,9,3.1,1.658,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31060,HAHAHAH,7,9,6.3,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31051,快乐黄磊老师早,7,9,5.1,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31019,亿遍上下打点仙,7,9,3.6,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31015,000w700,7,9,3.5,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30980,归位哈哈哈哈哈,7,9,2.9,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31054,树秦王扫六合仙,7,9,1.1,1.224,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31062,张大仙张大仙张,7,9,6.5,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30958,了我又来了我又,7,9,2.8,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31061,路仙人指路60,7,9,2.6,0.918,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30943,路一睹芳容光翼,7,9,1.8,0.918,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31063,李建红砸手机李,7,9,8,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31056,鱼打挺狗熊蹭树,7,9,5.7,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
31007,又来了恐龙妈妈,7,9,4.9,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
31021,单人生存籽岷的,7,9,4.4,0.503,2.281,0,0.000219469,4.316630726,0.000947368,0.503
31048,hhhh再来亿,7,9,4.1,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30989,来亿遍6666,7,9,3.9,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
31057,你的英雄每天一,7,9,3.8,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30986,00万7000,7,9,3.6,0.503,0.991,0,0.000219469,4.316630726,0.000947368,0.503
30984,人指路2000,7,9,3.5,0.503,1.352,0,0.000219469,4.316630726,0.000947368,0.503
31016,00w7000,7,9,3.5,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
31034,00万合影每日,7,9,3.5,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
31055,00万合影籽岷,7,9,3.5,0.503,1.88,0,0.000219469,4.316630726,0.000947368,0.503
30944,摧毁停车场66,7,9,3.4,0.503,2.059,0,0.000219469,4.316630726,0.000947368,0.503
30942,00w助攻40,7,9,3.3,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30999,哈哈哈佩恩六道,7,9,3.2,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
31014,哈哈哈前方高能,7,9,3.2,0.503,2.725,0,0.000219469,4.316630726,0.000947368,0.503
31042,哈哈哈2000,7,9,3.2,0.503,1.352,0,0.000219469,4.316630726,0.000947368,0.503
30985,你的英雄哈哈哈,7,9,3.1,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
30995,0万合影一周年,7,9,3.1,0.503,1.447,0,0.000219469,4.316630726,0.000947368,0.503
31033,加油哈哈哈哈哈,7,9,3,0.503,1.447,0,0.000219469,4.316630726,0.000947368,0.503
30982,之宝仙人指路仙,7,9,2.9,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
30981,遍再来亿遍每天,7,9,2.5,0.503,0.991,0,0.000219469,4.316630726,0.000947368,0.503
30994,选择您的英雄仙,7,9,2.4,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
31018,风摧毁停车场老,7,9,1.1,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
30276,哈哈哈黄磊早期,7,18,3.2,0.914,0.503,0,0.000438939,4.037877125,0.001772381,0.503
30273,的英雄上下打点,7,18,4.8,0.503,3.239,0,0.000438939,4.037877125,0.001772381,0.503
30282,00w合影秦王,7,18,3.7,0.503,0.614,0,0.000438939,4.037877125,0.001772381,0.503
27562,中秋快乐国庆,6,9,7.2,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27661,恐龙妈妈哈哈,6,9,3.2,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27558,武汉加油科比,6,9,6.3,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27678,籽岷挖矿武汉,6,9,5.4,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27668,每天一遍秦王,6,9,5.3,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27535,我保证这是最,6,9,4.7,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27670,物业敲门让我,6,9,4.7,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27628,物业敲门冲冲,6,9,3.5,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27522,国庆快乐哈哈,6,9,3.2,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27593,新年快乐60,6,9,2.8,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27567,光翼展开宿管,6,9,5.9,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27681,鲤鱼打挺狗熊,6,9,5.6,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27627,武汉加油恐龙,6,9,4.9,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27552,考古哈哈哈哈,6,9,3,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27611,荷官发牌物业,6,9,5.6,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27617,那个哈哈哈哈,6,9,3.1,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27644,物业敲门鲤鱼,6,9,5.8,2.419,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27682,二睹芳容仙人,6,9,3.9,2.281,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27673,恐龙妈妈提把,6,9,2.9,1.658,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27687,亿遍PDD后,6,9,4.7,1.392,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27703,睹芳容400,6,9,3.5,1.352,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27566,路多人运动时,6,9,2,0.991,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27547,IPhone,6,9,4.1,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27637,翻赵本山仙人,6,9,3.6,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27666,0w合影镇站,6,9,3.5,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27677,哈哈哈哈反击,6,9,3.2,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27601,挠头哈哈哈哈,6,9,3,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27676,哈哈哈哈多人,6,9,3,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27518,容黄磊老师早,6,9,1.3,0.918,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27561,防止抑郁哈哈,6,9,3.2,0.764,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27571,雄让我独享经,6,9,2.1,0.764,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27615,管恐龙妈妈提,6,9,1,0.764,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27707,燃燃燃燃燃燃,6,9,10.6,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27709,钱伟钱伟钱伟,6,9,8.9,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27710,除除除除除除,6,9,8,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27706,深情深情深情,6,9,7.4,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27528,独享经验苏联,6,9,6.1,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
27618,停车场一周年,6,9,6.1,0.503,1.447,0,0.000219469,4.316630726,0.000947368,0.503
27538,忘字来抬你裤,6,9,6,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
27711,武汉翔哥加油,6,9,6,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27580,提笔忘字战术,6,9,5.9,0.503,1.658,0,0.000219469,4.316630726,0.000947368,0.503
27712,邱基请求出战,6,9,5.9,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27586,定了这舞我们,6,9,5.7,0.503,1.891,0,0.000219469,4.316630726,0.000947368,0.503
27699,发牌宴请八方,6,9,5.7,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
27600,归位一睹芳容,6,9,5.6,0.503,2.725,0,0.000219469,4.316630726,0.000947368,0.503
27551,独秀一睹芳容,6,9,5.5,0.503,2.725,0,0.000219469,4.316630726,0.000947368,0.503
27597,分身物业敲门,6,9,5.5,0.503,2.725,0,0.000219469,4.316630726,0.000947368,0.503
27646,加油物业敲门,6,9,5.5,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
27648,英雄黄磊早期,6,9,5.5,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
27573,Iphone,6,9,5.1,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27641,早期视频籽岷,6,9,5.1,0.503,1.88,0,0.000219469,4.316630726,0.000947368,0.503
27516,踉跄恐龙妈妈,6,9,5,0.503,1.88,0,0.000219469,4.316630726,0.000947368,0.503
27527,周年快乐黄磊,6,9,5,0.503,2.642,0,0.000219469,4.316630726,0.000947368,0.503
27713,啊嗯哦啊嗯哦,6,9,5,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27529,稳定输出每天,6,9,4.9,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
27704,323232,6,9,4.9,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27625,的英雄黄磊早,6,9,4.8,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27702,扫六合最后亿,6,9,4.7,0.503,1.224,0,0.000219469,4.316630726,0.000947368,0.503
27549,之宝每天一遍,6,9,4.6,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
27577,天一遍龙卷风,6,9,4.6,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
27613,抑郁再来亿遍,6,9,4.6,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
27616,333323,6,9,4.5,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27521,切菜仙人指路,6,9,4.3,0.503,2.281,0,0.000219469,4.316630726,0.000947368,0.503
27524,指路每日一刷,6,9,4,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
27708,的地方每天一,6,9,3.9,0.503,1.224,0,0.000219469,4.316630726,0.000947368,0.503
27531,天亿遍每日一,6,9,3.6,0.503,0.991,0,0.000219469,4.316630726,0.000947368,0.503
27619,挖矿6000,6,9,3.6,0.503,1.53,0,0.000219469,4.316630726,0.000947368,0.503
27515,的最后一遍了,6,9,3.5,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
27697,芳容4000,6,9,3.5,0.503,1.837,0,0.000219469,4.316630726,0.000947368,0.503
27520,扫六合每天一,6,9,3.4,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27608,龙卷风600,6,9,3.3,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27565,哈哈百里甩狙,6,9,3.2,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
27640,路狒狒挠头秦,6,9,3,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
27671,树一睹芳容光,6,9,2.9,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
27579,门荷官发牌仙,6,9,2.8,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
27679,独享经验70,6,9,2.7,0.503,1.658,0,0.000219469,4.316630726,0.000947368,0.503
27572,乐我又回来了,6,9,2.2,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
27588,00w合影镇,6,9,2.1,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
27557,蛋仙人指路一,6,9,1.8,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
27584,位众神归位仙,6,9,1.7,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
27596,度秦王扫六合,6,9,1.3,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
27664,路3000万,6,9,1.2,0.503,1.658,0,0.000219469,4.316630726,0.000947368,0.503
27667,00w合影牛,6,9,1.2,0.503,1.392,0,0.000219469,4.316630726,0.000947368,0.503
27610,路仙人指路让,6,9,1.1,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
26517,再来一遍每日,6,18,5.4,3.642,0.503,0,0.000438939,4.037877125,0.001772381,0.503
26548,容物业敲门仙,6,18,2.1,0.503,0.65,0,0.000438939,4.037877125,0.001772381,0.503
26100,路狗熊蹭树物,6,27,2.4,0.503,0.605,0,0.000658408,3.869472695,0.002547692,0.503
25818,iiiiii,6,40,6.5,0.503,0.503,0,0.000975419,3.703846869,0.003612804,0.503
25811,指路武汉加油,6,40,4.1,0.503,4.632,0,0.000975419,3.703846869,0.003612804,0.503
25769,5000w助,6,45,3.1,4.747,0.503,0,0.001097347,3.653872894,0.004009566,0.503
25568,PDDPDD,6,76,6.7,0.503,0.503,0,0.001853297,3.430140001,0.006357068,0.503
22978,一枝独秀再,5,9,2,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23044,震荡试管恐,5,9,2,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23020,再来亿遍猛,5,9,1.4,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23072,每天一遍宴,5,9,1,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23071,籽岷wei,5,9,5.4,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22902,合影啊啊啊,5,9,4.7,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22966,加减乘除等,5,9,3.9,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22890,黄磊切菜仙,5,9,2.2,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23086,再来亿遍朱,5,9,1.8,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23027,镇站之宝籽,5,9,1,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22968,众神归位宴,5,9,1.7,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23035,故技重施鱼,5,9,1.6,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22914,早期作品关,5,9,2.4,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23042,光速QA再,5,9,2.1,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22907,光速QA仙,5,9,1.1,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23043,出不去了真,5,9,2.5,2.419,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22932,振荡试管仙,5,9,1.4,2.419,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23105,回来了恐龙,5,9,4.9,2.059,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22948,w合影新年,5,9,4.1,2.059,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22991,人才哈哈哈,5,9,3.1,2.059,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23112,亿遍故技重,5,9,4.3,1.891,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23124,哈哈哈众神,5,9,3.2,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23014,选择你的老,5,9,1.2,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22961,后排输出稳,5,9,4.7,1.352,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22909,我手机会震,5,9,3.7,1.352,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23013,爱了哈哈哈,5,9,3.2,1.224,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23081,hhaha,5,9,1.7,1.224,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23129,mdmdm,5,9,7,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22880,是怎么忍住,5,9,5.5,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22979,镇店之宝镇,5,9,4.3,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23022,冲冲冲充冲,5,9,3.7,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23109,定了再来亿,5,9,3.3,0.764,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23128,吃吃吃吃吃,5,9,8.7,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23127,EEEEE,5,9,8.3,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23118,xxxxx,5,9,7.6,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22942,什么我手机,5,9,7.4,0.503,2.113,0,0.000219469,4.316630726,0.000947368,0.503
23031,为什么在震,5,9,6.8,0.503,1.88,0,0.000219469,4.316630726,0.000947368,0.503
5832,告诉,2,6,8.9,2.585,1,1,0.000146313,4.471532686,0.000654243,1
23004,弹幕出人才,5,9,6.7,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
4705,兴奋,2,8,8,1,2.156,1,0.000195084,4.362388217,0.000851032,1
23064,妹给你打油,5,9,6,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
23041,加油一周年,5,9,5.9,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
23102,dd在后面,5,9,5.9,0.503,2.419,0,0.000219469,4.316630726,0.000947368,0.503
22962,排输出稳定,5,9,5.8,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
23006,扫六合鱼儿,5,9,5.7,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23083,睹芳容苏联,5,9,5.7,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
23122,出水我管这,5,9,5.6,0.503,1.224,0,0.000219469,4.316630726,0.000947368,0.503
22915,作品关晓彤,5,9,5.4,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
22944,作品黄老师,5,9,5.4,0.503,1.447,0,0.000219469,4.316630726,0.000947368,0.503
22919,老师好黄磊,5,9,5.3,0.503,1.224,0,0.000219469,4.316630726,0.000947368,0.503
23008,神归位秦王,5,9,5.1,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23065,展开便宜点,5,9,5.1,0.503,2.419,0,0.000219469,4.316630726,0.000947368,0.503
22886,你跳的好棒,5,9,5,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
23111,w合影百里,5,9,4.4,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
22898,一氪那裤头,5,9,4.3,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22911,敲门笑死我,5,9,4.3,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
23052,青春回来了,5,9,4.3,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
23070,亿遍朱一龙,5,9,4.3,0.503,2.281,0,0.000219469,4.316630726,0.000947368,0.503
22896,芳容我又来,5,9,4.2,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22888,w合影苏联,5,9,4.1,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22940,挠头每天一,5,9,4.1,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23021,您的英雄请,5,9,3.9,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23117,七武海仙人,5,9,3.9,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23010,亿助攻黄磊,5,9,3.7,0.503,2.059,0,0.000219469,4.316630726,0.000947368,0.503
22926,00万提前,5,9,3.6,0.503,1.224,0,0.000219469,4.316630726,0.000947368,0.503
23009,00万再来,5,9,3.5,0.503,0.991,0,0.000219469,4.316630726,0.000947368,0.503
23098,00W预定,5,9,3.5,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
23023,运动600,5,9,3.2,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23069,哈哈哈光翼,5,9,3.2,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
23100,哈哈哈空耳,5,9,3.2,0.503,2.419,0,0.000219469,4.316630726,0.000947368,0.503
23063,哈哈哈牛奶,5,9,3.1,0.503,0.918,0,0.000219469,4.316630726,0.000947368,0.503
22965,又来了66,5,9,3,0.503,0.986,0,0.000219469,4.316630726,0.000947368,0.503
23085,验战术踉跄,5,9,2.8,0.503,2.281,0,0.000219469,4.316630726,0.000947368,0.503
22897,又来了来了,5,9,2.5,0.503,2.281,0,0.000219469,4.316630726,0.000947368,0.503
22992,菜鲤鱼打挺,5,9,2.2,0.503,2.725,0,0.000219469,4.316630726,0.000947368,0.503
23116,下七武海仙,5,9,2.1,0.503,0.503,0,0.000219469,4.316630726,0.000947368,0.503
22893,0w合影自,5,9,1.8,0.503,2.419,0,0.000219469,4.316630726,0.000947368,0.503
22977,品多人运动,5,9,1.8,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
22998,0万助攻7,5,9,1.8,0.503,1.753,0,0.000219469,4.316630726,0.000947368,0.503
23119,挺众神归位,5,9,1.8,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
23039,王扫六合荷,5,9,1.7,0.503,0.764,0,0.000219469,4.316630726,0.000947368,0.503
23046,弟早期作品,5,9,1.7,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
23011,位苏联解体,5,9,1.6,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
23016,容上下打点,5,9,1.5,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
22922,雄籽岷挖矿,5,9,1.4,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
23082,0w助攻2,5,9,1.3,0.503,1.975,0,0.000219469,4.316630726,0.000947368,0.503
22887,容7000,5,9,1.2,0.503,1.224,0,0.000219469,4.316630726,0.000947368,0.503
22996,容再来一遍,5,9,1.2,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
23108,又回来了4,5,9,1.2,0.503,2.059,0,0.000219469,4.316630726,0.000947368,0.503
22936,雄物业敲门,5,9,1.1,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
22949,风苏联解体,5,9,1,0.503,2.642,0,0.000219469,4.316630726,0.000947368,0.503
23106,路自取其乳,5,9,1,0.503,2.948,0,0.000219469,4.316630726,0.000947368,0.503
21711,多人运动仙,5,18,1.2,3.948,0.503,0,0.000438939,4.037877125,0.001772381,0.503
21757,龙卷风反杀,5,18,5.1,3.503,0.503,0,0.000438939,4.037877125,0.001772381,0.503
21747,既生新宝岛,5,18,7.6,2.967,0.503,0,0.000438939,4.037877125,0.001772381,0.503
21699,期作品普京,5,18,5.7,0.503,1.669,0,0.000438939,4.037877125,0.001772381,0.503
21696,天一遍60,5,18,2.7,0.503,1.497,0,0.000438939,4.037877125,0.001772381,0.503
21698,遍自取其乳,5,18,2,0.503,3.239,0,0.000438939,4.037877125,0.001772381,0.503
4535,为敬,2,9,5.9,0.503,3.17,0,0.000219469,4.316630726,0.000947368,0.503
20965,天亿遍再来,5,36,2.8,0.503,0.711,0,0.000877877,3.748429002,0.003290661,0.503
23080,只有我一个,5,9,5.8,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
20369,路物业敲门,5,132,1.5,0.503,5.726,0,0.003218884,3.192779085,0.010277186,0.503
17192,怎么又被,4,9,6.3,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16970,托马斯旋,4,9,5.6,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17122,上头再来,4,9,4.1,3.17,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17185,南斯拉夫,4,9,8,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17188,adid,4,9,5.8,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17308,60fp,4,9,4.2,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16973,6044,4,9,2.6,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17115,贺峻霖来,4,9,2.2,2.948,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17288,pdd早,4,9,1.4,2.725,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17105,破500,4,9,3.2,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17224,6672,4,9,2.2,2.642,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17196,干掉念诗,4,9,6.7,2.419,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17032,nb仙人,4,9,3.8,2.419,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17182,荒木吕飞,4,9,7.1,2.281,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16988,助攻狒狒,4,9,5.8,2.113,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16987,来了狒狒,4,9,3.1,1.891,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17042,快乐便宜,4,9,5.5,1.753,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16968,运动每天,4,9,4.7,1.753,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16967,亿遍啊啊,4,9,4.1,1.658,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17118,合影多人,4,9,3.9,1.53,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17259,方籽岷的,4,9,1.9,1.447,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17049,水请选择,4,9,2.2,1.392,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17306,沖沖冲沖,4,9,10.6,1.352,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17097,体每天亿,4,9,1.6,1.352,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16958,六合荷官,4,9,4.8,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17008,哈哈又来,4,9,3.2,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17015,展开30,4,9,3.2,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17063,6w仙人,4,9,2,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17131,门自取其,4,9,2,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17222,W合影恐,4,9,1.8,0.986,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17161,矿300,4,9,1.5,0.918,0.503,0,0.000219469,4.316630726,0.000947368,0.503
17233,容欢迎回,4,9,1.3,0.918,0.503,0,0.000219469,4.316630726,0.000947368,0.503
16999,时候都有,4,9,6.2,0.764,0.503,0,0.000219469,4.316630726,0.000947368,0.503
